Epoch,UnsupervisedLoss
1,0.14206534624099731
2,0.0987061858177185
3,0.0793495774269104
4,0.07273322343826294
5,0.06338661909103394
6,0.0527418851852417
7,0.0403590202331543
8,0.026213645935058594
9,0.013999462127685547
10,0.0045822858810424805
11,-0.0036409497261047363
12,-0.011881530284881592
13,-0.020522356033325195
14,-0.029388129711151123
15,-0.04029428958892822
16,-0.0522310733795166
17,-0.061276137828826904
18,-0.07016295194625854
19,-0.07853543758392334
20,-0.08435773849487305
21,-0.08860641717910767
22,-0.09387034177780151
23,-0.10152792930603027
24,-0.11163794994354248
25,-0.12328654527664185
26,-0.13369017839431763
27,-0.14046698808670044
28,-0.14844512939453125
29,-0.15763813257217407
30,-0.1648576855659485
31,-0.17035043239593506
32,-0.1761265993118286
33,-0.18356990814208984
34,-0.19227170944213867
35,-0.20035791397094727
36,-0.20646899938583374
37,-0.2112879753112793
38,-0.21638083457946777
39,-0.2217463254928589
40,-0.22646677494049072
41,-0.23052549362182617
42,-0.23435908555984497
43,-0.23799645900726318
44,-0.2413266897201538
45,-0.24442684650421143
46,-0.2473968267440796
47,-0.2503316402435303
48,-0.25344228744506836
49,-0.25696253776550293
50,-0.2608649730682373
51,-0.2646535634994507
52,-0.26813822984695435
53,-0.27308768033981323
54,-0.278359591960907
55,-0.28310245275497437
56,-0.28830230236053467
57,-0.2939468026161194
58,-0.2985594868659973
59,-0.30345940589904785
60,-0.30853575468063354
61,-0.31271958351135254
62,-0.317172110080719
63,-0.3211750388145447
64,-0.3244784474372864
65,-0.3280075788497925
66,-0.33090031147003174
67,-0.3336678743362427
68,-0.336641788482666
69,-0.3393426537513733
70,-0.342133492231369
71,-0.34484484791755676
72,-0.34712207317352295
73,-0.34932589530944824
74,-0.35138458013534546
75,-0.35315218567848206
76,-0.354830265045166
77,-0.3562951683998108
78,-0.3575126528739929
79,-0.35869529843330383
80,-0.3597984313964844
81,-0.3607670068740845
82,-0.3617219626903534
83,-0.3626273274421692
84,-0.3634546101093292
85,-0.3643019497394562
86,-0.36514878273010254
87,-0.3659474551677704
88,-0.3667438328266144
89,-0.3675207495689392
90,-0.3682362139225006
91,-0.36892905831336975
92,-0.3696154057979584
93,-0.37027662992477417
94,-0.37093377113342285
95,-0.37159964442253113
96,-0.37227120995521545
97,-0.37299180030822754
98,-0.37383192777633667
99,-0.3748694062232971
100,-0.3762647211551666
101,-0.37833598256111145
102,-0.38171371817588806
103,-0.3876027464866638
104,-0.3965197205543518
105,-0.398423969745636
106,-0.4076092839241028
107,-0.41187435388565063
108,-0.4140340983867645
109,-0.42179015278816223
110,-0.4241102337837219
111,-0.42762210965156555
112,-0.43189191818237305
113,-0.43214645981788635
114,-0.4365726113319397
115,-0.43899041414260864
116,-0.44133561849594116
117,-0.44608139991760254
118,-0.44824105501174927
119,-0.4518929719924927
120,-0.4556789994239807
121,-0.45745670795440674
122,-0.46035850048065186
123,-0.46276620030403137
124,-0.46417203545570374
125,-0.4663737714290619
126,-0.46833527088165283
127,-0.469558984041214
128,-0.47129297256469727
129,-0.4730795621871948
130,-0.4743781089782715
131,-0.4759102761745453
132,-0.4775700867176056
133,-0.4787975549697876
134,-0.47998562455177307
135,-0.48136070370674133
136,-0.48252150416374207
137,-0.4835568368434906
138,-0.48470446467399597
139,-0.48575180768966675
140,-0.48659512400627136
141,-0.48746076226234436
142,-0.4883595108985901
143,-0.4891524612903595
144,-0.48991483449935913
145,-0.4907260537147522
146,-0.49148380756378174
147,-0.4921494722366333
148,-0.4928209185600281
149,-0.49347612261772156
150,-0.4940488338470459
151,-0.494598388671875
152,-0.49517279863357544
153,-0.4957196116447449
154,-0.4962274134159088
155,-0.4967431128025055
156,-0.49726027250289917
157,-0.4977509379386902
158,-0.49824121594429016
159,-0.49874722957611084
160,-0.4992455840110779
161,-0.4997212588787079
162,-0.5001925230026245
163,-0.5006623268127441
164,-0.5011204481124878
165,-0.5015711188316345
166,-0.5020238757133484
167,-0.5024712085723877
168,-0.5029078722000122
169,-0.503345251083374
170,-0.5037868022918701
171,-0.5042215585708618
172,-0.5046552419662476
173,-0.5050945281982422
174,-0.5055322051048279
175,-0.505966067314148
176,-0.5064007043838501
177,-0.5068329572677612
178,-0.5072566270828247
179,-0.5076748132705688
180,-0.5080929398536682
181,-0.5085077285766602
182,-0.5089201927185059
183,-0.5093312859535217
184,-0.5097371339797974
185,-0.5101395845413208
186,-0.5105422735214233
187,-0.5109450817108154
188,-0.511346697807312
189,-0.5117474794387817
190,-0.5121504068374634
191,-0.5125594139099121
192,-0.512976884841919
193,-0.5134145021438599
194,-0.513887345790863
195,-0.5144301652908325
196,-0.5151214599609375
197,-0.5161677598953247
198,-0.518128514289856
199,-0.5224340558052063
200,-0.5324521660804749
201,-0.5556555986404419
202,-0.5901116132736206
203,-0.5266174077987671
204,-0.6020485162734985
205,-0.5788093209266663
206,-0.5726814270019531
207,-0.5794388651847839
