x_coordinate,y_coordinate,Cell_Type,TCN_Label
-2977.201559,3180.866518,049 Lamp5 Gaba,1
-2952.232961,3172.620386,049 Lamp5 Gaba,1
-2942.952873,3034.110698,199 PAG-MRN-RN Foxa2 Gaba,3
-2910.166484,3177.077042,128 VMH Fezf1 Glut,1
-2878.201002,3187.125335,196 PAG-PPN Pax5 Sox21 Gaba,1
-3003.065798,3078.016551,106 PVpo-VMPO-MPN Hmx2 Gaba,3
-2976.399701,3031.887168,199 PAG-MRN-RN Foxa2 Gaba,3
-2973.040143,3123.550217,106 PVpo-VMPO-MPN Hmx2 Gaba,1
-2965.7011,3141.598687,199 PAG-MRN-RN Foxa2 Gaba,1
-2955.482948,3044.758687,106 PVpo-VMPO-MPN Hmx2 Gaba,3
-2888.740698,3136.041864,049 Lamp5 Gaba,1
-2965.012382,3180.180591,106 PVpo-VMPO-MPN Hmx2 Gaba,1
-2940.378288,3201.794391,199 PAG-MRN-RN Foxa2 Gaba,1
-2927.817053,3161.192726,196 PAG-PPN Pax5 Sox21 Gaba,1
-2858.526133,3129.484842,049 Lamp5 Gaba,1
-2858.313664,3197.907968,196 PAG-PPN Pax5 Sox21 Gaba,1
-3029.629998,3278.57894,106 PVpo-VMPO-MPN Hmx2 Gaba,1
-3030.555515,3301.588462,106 PVpo-VMPO-MPN Hmx2 Gaba,1
-3027.34831,3237.455221,196 PAG-PPN Pax5 Sox21 Gaba,1
-3019.434513,3260.697422,099 SBPV-PVa Six6 Satb2 Gaba,1
-3016.414033,3306.180062,068 LSX Otx2 Gaba,1
-3001.803085,3359.197613,106 PVpo-VMPO-MPN Hmx2 Gaba,1
-3000.888789,3299.561234,128 VMH Fezf1 Glut,1
-2988.069227,3237.589184,049 Lamp5 Gaba,1
-2990.558942,3315.615024,049 Lamp5 Gaba,1
-2990.728397,3276.069463,106 PVpo-VMPO-MPN Hmx2 Gaba,1
-2989.124366,3378.62298,049 Lamp5 Gaba,1
-2978.962421,3333.223733,196 PAG-PPN Pax5 Sox21 Gaba,1
-2974.133668,3250.291371,106 PVpo-VMPO-MPN Hmx2 Gaba,1
-2967.762604,3390.914725,196 PAG-PPN Pax5 Sox21 Gaba,1
-2960.285218,3333.860364,128 VMH Fezf1 Glut,1
-2950.421434,3275.093089,106 PVpo-VMPO-MPN Hmx2 Gaba,1
-2939.575179,3299.068068,106 PVpo-VMPO-MPN Hmx2 Gaba,1
-2944.724184,3316.485959,196 PAG-PPN Pax5 Sox21 Gaba,1
-2933.868497,3371.899957,196 PAG-PPN Pax5 Sox21 Gaba,1
-2934.942897,3244.621051,073 MEA-BST Sox6 Gaba,1
-2923.887749,3320.556232,199 PAG-MRN-RN Foxa2 Gaba,1
-2921.713718,3355.828041,196 PAG-PPN Pax5 Sox21 Gaba,1
-2927.199416,3335.552724,199 PAG-MRN-RN Foxa2 Gaba,1
-2911.592857,3246.474407,106 PVpo-VMPO-MPN Hmx2 Gaba,1
-2906.329128,3236.931351,106 PVpo-VMPO-MPN Hmx2 Gaba,1
-2909.636307,3303.010553,106 PVpo-VMPO-MPN Hmx2 Gaba,1
-2905.293216,3310.835367,196 PAG-PPN Pax5 Sox21 Gaba,1
-2903.975022,3395.467639,181 IC Tfap2d Maf Glut,1
-2899.545698,3249.497751,300 PARN-MDRNd-NTS Gbx2 Gly-Gaba,1
-2894.457204,3272.832326,196 PAG-PPN Pax5 Sox21 Gaba,1
-2891.839974,3284.828044,327 Oligo NN,1
-2876.356967,3324.968411,131 LHA-AHN-PVH Otp Trh Glut,1
-2870.246151,3343.472935,196 PAG-PPN Pax5 Sox21 Gaba,1
-2868.557788,3256.816329,106 PVpo-VMPO-MPN Hmx2 Gaba,1
-2868.802795,3400.047664,068 LSX Otx2 Gaba,1
-2859.966448,3231.820202,073 MEA-BST Sox6 Gaba,1
-2860.682058,3400.098317,173 PAG Pou4f2 Glut,1
-2857.382141,3289.016683,073 MEA-BST Sox6 Gaba,1
-2849.515024,3273.465271,181 IC Tfap2d Maf Glut,1
-2846.723828,3242.719513,199 PAG-MRN-RN Foxa2 Gaba,1
-3031.313008,3261.160648,106 PVpo-VMPO-MPN Hmx2 Gaba,1
-3021.077099,3368.575012,106 PVpo-VMPO-MPN Hmx2 Gaba,1
-3007.713612,3243.39608,181 IC Tfap2d Maf Glut,1
-2993.495947,3226.153905,327 Oligo NN,1
-2971.981767,3297.638044,106 PVpo-VMPO-MPN Hmx2 Gaba,1
-2965.66967,3292.330916,106 PVpo-VMPO-MPN Hmx2 Gaba,1
-2914.903564,3258.723116,181 IC Tfap2d Maf Glut,1
-2998.9505,3350.228772,199 PAG-MRN-RN Foxa2 Gaba,1
-2946.59941,3264.043714,106 PVpo-VMPO-MPN Hmx2 Gaba,1
-2872.203745,3314.643496,106 PVpo-VMPO-MPN Hmx2 Gaba,1
-2871.581247,3395.560508,106 PVpo-VMPO-MPN Hmx2 Gaba,1
-2951.926098,3330.523459,106 PVpo-VMPO-MPN Hmx2 Gaba,1
-2917.391633,3277.119729,199 PAG-MRN-RN Foxa2 Gaba,1
-2903.488636,3365.516315,068 LSX Otx2 Gaba,1
-2875.341558,3304.040125,199 PAG-MRN-RN Foxa2 Gaba,1
-3029.764386,3426.783967,106 PVpo-VMPO-MPN Hmx2 Gaba,1
-3021.888972,3497.605352,099 SBPV-PVa Six6 Satb2 Gaba,1
-3025.280058,3550.785908,106 PVpo-VMPO-MPN Hmx2 Gaba,1
-3013.524167,3522.723196,106 PVpo-VMPO-MPN Hmx2 Gaba,1
-3003.775992,3594.652261,106 PVpo-VMPO-MPN Hmx2 Gaba,1
-3002.107398,3587.260236,106 PVpo-VMPO-MPN Hmx2 Gaba,1
-2998.757643,3558.347645,106 PVpo-VMPO-MPN Hmx2 Gaba,1
